gps_code,iata_code,name,type,ident,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,id,iso_region,municipality,scheduled_service,local_code,home_link,wikipedia_link,keywords
VVCR,CXR,Cam Ranh International Airport / Cam Ranh Air Base,medium_airport,VVCR,11.9982,109.219002,40,AS,VN,26693,VN-SCC,Cam Ranh,yes,,,https://en.wikipedia.org/wiki/Cam_Ranh_International_Airport,
MTCA,CYA,Les Cayes Airport,medium_airport,MTCA,18.2710990905762,-73.7882995605469,203,NA,HT,4822,HT-SD,Les Cayes,yes,,,https://en.wikipedia.org/wiki/Les_Cayes_Airport,
MWCB,CYB,Charles Kirkconnell International Airport,medium_airport,MWCB,19.687,-79.882797,8,NA,KY,4861,KY-CB,West End,yes,,,https://en.wikipedia.org/wiki/Gerrard_Smith_International_Airport,
MZCP,CYC,Caye Chapel Airport,medium_airport,BZ-CYC,17.683792,-88.044985,3,NA,BZ,30867,BZ-BZ,Caye Chapel,yes,,,https://en.wikipedia.org/wiki/Caye_Chapel_Airport,
PACK,CYF,Chefornak Airport,small_airport,PACK,60.136667,-164.279167,49,NA,US,16711,US-AK,Chefornak,yes,CFK,,https://en.wikipedia.org/wiki/Chefornak_Airport,Z74
RCKU,CYI,Chiayi Airport,medium_airport,RCKU,23.461799621582,120.392997741699,85,AS,TW,5517,TW-CYQ,Chiayi City,yes,,http://www.cya.gov.tw/web/english/index.asp,https://en.wikipedia.org/wiki/Chiayi_Airport,"Shueishang Airport, 嘉義航空站, 水上機場"
05AA,CYM,Chatham Seaplane Base,seaplane_base,CYM,57.5149,-134.945999,,NA,US,17057,US-AK,Chatham,yes,05AA,,https://en.wikipedia.org/wiki/Chatham_Seaplane_Base,CYM
MUCL,CYO,Vilo Acuña International Airport,medium_airport,MUCL,21.6165008545,-81.5459976196,10,NA,CU,4833,CU-99,Cayo Largo del Sur,yes,,,https://en.wikipedia.org/wiki/Vilo_Acu%C3%B1a_Airport,
RPVC,CYP,Calbayog Airport,medium_airport,RPVC,12.072699546814,124.544998168945,12,AS,PH,5734,PH-WSA,Calbayog City,yes,,,https://en.wikipedia.org/wiki/Calbayog_Airport,
KCYS,CYS,Cheyenne Regional Jerry Olson Field,medium_airport,KCYS,41.155701,-104.811997,6159,NA,US,3476,US-WY,Cheyenne,yes,CYS,,https://en.wikipedia.org/wiki/Cheyenne_Regional_Airport,
